ERROR:root:Error processing C:\Users\kanis\Desktop\chartered_final\manager\tmp\37f5f900-596e-4113-a4b2-64bb92c8a8b3.jpg: C:\Users\Asus\Downloads\Tesseract-OCR\Tesseract-OCR\tesseract.exe is not installed or it's not in your PATH. See README file for more information.
ERROR:root:Error processing C:\Users\kanis\Desktop\chartered_final\manager\tmp\d3f12c69-bcf4-4494-9609-395adb971603.jpg: [WinError 5] Access is denied
ERROR:root:Error processing C:\Users\kanis\Desktop\chartered_final\manager\tmp\a71a8210-37cb-422a-a7e6-c032b2282720.pdf: OpenCV(4.6.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\color.cpp:182: error: (-215:Assertion failed) !_src.empty() in function 'cv::cvtColor'

DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ydvyw9wy_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ydvyw9wy', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ws4ohays_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ws4ohays', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_rvmumz8c_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_rvmumz8c', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_wrretes3_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_wrretes3', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_j21o95l8_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_j21o95l8', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_yu9omykb_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_yu9omykb', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_nlanp_5__input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_nlanp_5_', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_l6yn9eyh_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_l6yn9eyh', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_wsgcxl2j_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_wsgcxl2j', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess__4jx8_uz_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess__4jx8_uz', '-l', 'eng', 'txt']
ERROR:root:Error processing D:\_web dev\projects\manager\tmp\1b24702d-6121-47a9-9f3b-2465c538974c.jpg: 'str' object has no attribute 'get'
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_o_yfghu7_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_o_yfghu7', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_fwmbfp0c_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_fwmbfp0c', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_xtm1ymbo_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_xtm1ymbo', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_kwl4iicp_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_kwl4iicp', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_jfs6k4b1_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_jfs6k4b1', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_0nfv6e7a_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_0nfv6e7a', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_uf361lqc_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_uf361lqc', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_e_dojwza_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_e_dojwza', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_79dl2_rc_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_79dl2_rc', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_1mjhp_42_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_1mjhp_42', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_n1nnd3ax_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_n1nnd3ax', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_05_p47is_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_05_p47is', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_rb2d6tgg_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_rb2d6tgg', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_dibiagal_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_dibiagal', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_yy8mgus5_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_yy8mgus5', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_qobaj6ro_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_qobaj6ro', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_984_ow6c_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_984_ow6c', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_c0tcj9ho_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_c0tcj9ho', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_rr47n47f_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_rr47n47f', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_17mw4xln_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_17mw4xln', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_qwgkz8w0_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_qwgkz8w0', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess__oln27ui_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess__oln27ui', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_qh8dcm8d_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_qh8dcm8d', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_gju5h302_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_gju5h302', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_lcnyvimu_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_lcnyvimu', '-l', 'eng', 'txt']
